	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_gbr__learning_rate	param_gbr__max_depth	param_gbr__min_samples_leaf	param_gbr__n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score
20	27.689613819122314	0.19036331028083026	0.14890401363372802	0.029850210790695986	0.01	8	10	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 300}	-14335.14705480446	-12418.951132722246	-14318.190040189485	-13087.407266839415	-13778.239104905359	-15216.04508188626	-13445.061402304069	-14061.127763482771	-13595.31787699771	-14396.726353943413	-13865.215120238681	743.5031731418537	35
21	33.862780284881595	0.2245817571810643	0.14550995826721191	0.023108036296783686	0.01	8	10	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 500}	-14037.018207096247	-12299.04639198523	-13386.67428183884	-13075.084043189872	-13115.76799047621	-15123.412929051421	-12958.146395653748	-13454.820773849948	-13080.30762274169	-14391.914660619594	-13492.233194439168	773.0287549651946	24
22	26.296953129768372	0.054848015036665754	0.14674162864685059	0.028276079384379867	0.01	8	20	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 300}	-14594.00191069765	-12521.572478968446	-13796.17774674555	-13530.025175843097	-13828.02208602435	-15010.961808694941	-13243.6745058698	-14432.528771883037	-13457.859141975474	-14741.094426861513	-13915.556551939362	733.7933450558558	36
23	32.35666463375092	0.22175429605870867	0.15176327228546144	0.020685670037068924	0.01	8	20	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 500}	-14051.184506254904	-12314.127544562107	-13580.157408678235	-13705.676411039145	-13090.416385565073	-14862.213265562757	-13168.797333851791	-14014.579883417056	-14255.969636935406	-14428.54883051684	-13747.021456754606	705.75514713455	32
24	39.09112894535065	0.2914968700172234	0.1575012445449829	0.03429238661138881	0.01	12	5	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 300}	-13393.907017216286	-12405.208924888815	-13388.67349545769	-13431.463686811829	-13108.039698995784	-15228.390565144051	-13822.448597122784	-13474.540391726718	-12725.666394412212	-14936.28834546783	-13591.364452466312	839.7433048265418	29
25	1201.8461354017259	941.3380221831313	0.11549620628356934	0.0904904958592572	0.01	12	5	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 500}	-13357.141703348236	-12542.396777684608	-13240.312873317547	-13315.665664294818	-13016.24750416043	-14786.917051541295	-13015.18755613004	-13282.359556499592	-12804.607084995121	-14612.646522780276	-13397.327452834625	694.8019501424836	15
26	5886.237387108803	6787.600996242341	197.39875466823577	591.7712306324084	0.01	12	10	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 300}	-14292.17705553129	-12155.804300864365	-13998.007512454726	-12973.714388533092	-13008.246820850016	-14993.294597726395	-12325.150578843488	-13805.683292743473	-12687.62855437705	-14342.286817566084	-13458.310731962958	908.7158791333516	21
27	3784.287783765793	4576.498093052559	0.1629100799560547	0.03213343136986507	0.01	12	10	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 500}	-13588.489842547315	-11719.306826207532	-13463.73210864294	-12958.632536447654	-12662.998997717186	-14778.52551603365	-12346.306194729506	-13488.979759457536	-12687.405798061824	-14579.489182120407	-13227.354761976942	906.7736707604997	3
28	43.17178452014923	3.544476199416243	0.2136911630630493	0.05548249250120785	0.01	12	20	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 300}	-14095.596518841277	-12670.637650176483	-14042.684816943092	-13623.780707479968	-13967.148823402356	-14814.087221219583	-12758.714290044416	-13818.897692417158	-13396.83611335737	-14441.040801713127	-13763.047877899558	644.4815610315508	33
29	66.79735550880432	1.7031109201086922	0.25498595237731936	0.030564770013776995	0.01	12	20	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 500}	-13593.857884459825	-12378.702384812055	-13491.500386943371	-13700.75310077014	-13451.294954280987	-14684.320830373272	-12861.789716865918	-13194.635516141243	-12937.215350873812	-14355.278578958387	-13465.019499394048	651.7889624322219	22
30	91.00340919494629	2.657894267030624	0.28231613636016845	0.020998768233065443	0.01	16	5	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 300}	-13473.836144474899	-12714.571687382499	-13777.65876407093	-13140.81462518818	-13481.536075748345	-15028.017060423874	-12832.23602734301	-14227.956381512755	-12963.879989608537	-14990.849934703889	-13663.07563265454	798.5891811777415	31
31	175.6342740058899	35.084017133669214	0.5361283302307129	0.17618632995371808	0.01	16	5	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 500}	-13421.742745290987	-12229.17408083917	-13419.555293846286	-13420.890320056787	-13475.309202466837	-14839.118160745027	-12639.271615220285	-13616.01011517019	-12996.37850869494	-15193.662223273	-13525.054089788295	854.1825703433352	27
32	137.96695744991302	7.769003925400824	0.49431300163269043	0.05750975043998743	0.01	16	10	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 300}	-14070.640267578203	-12076.209298058104	-13989.70122637261	-13121.401746580577	-13689.447925800327	-14973.39963648187	-12164.684027052834	-13468.870310546015	-12826.13158723405	-14018.007189885073	-13440.061664861074	861.0503503850764	20
33	176.5842584133148	7.103642443628349	0.551884651184082	0.10627905713362237	0.01	16	10	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 500}	-13669.339427544313	-11930.019782091069	-13698.395049355058	-13002.02733474493	-13245.08658499521	-14538.731058706195	-12526.836708981813	-13498.852234910431	-13140.143310940504	-13747.313207158782	-13299.721778163137	682.8513209666502	6
34	81.79984710216522	37.83794130546444	0.2559016942977905	0.14806364211578843	0.01	16	20	300	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 300}	-13886.357927702553	-12365.346640653777	-13622.982554794042	-13579.79394010986	-13607.554101142674	-14706.059190954584	-12837.130527206806	-13485.088695697617	-12858.99512052664	-14441.740695527085	-13539.193319935006	681.6582697283545	28
35	41.122799968719484	6.455384390952562	0.1474863052368164	0.03722782723159004	0.01	16	20	500	{'gbr__learning_rate': 0.01, 'gbr__max_depth': 16, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 500}	-13841.256278795001	-12269.974892183785	-13586.521427159854	-13104.196629839964	-13227.995864994067	-14901.043660694955	-12740.871630815149	-13419.933333080684	-13295.449463561745	-14511.190509423082	-13489.842031834707	740.0930044725272	23
