,perc_imputed,feature,mae,imputer
440,70,min_tvd,137.669463888,MICE
441,70,num_pools_produced,0.590879847473,MICE
442,70,std_tvd,25.2287410588,MICE
443,70,surface_lat,0.245732832803,MICE
444,70,surface_lng,0.22133631821,MICE
445,70,total_lbs_proppant,977353.627103,MICE
446,70,total_volume_bbls,23663.5971754,MICE
447,70,tvd,81.2738257493,MICE
448,10,GRElev,53.6629104101,SoftMax
449,10,KBElev,56.7212855418,SoftMax
450,10,TD,924.27623598,SoftMax
451,10,bh_lat,0.202749373617,SoftMax
452,10,bh_lng,0.177854723701,SoftMax
453,10,legs,0.693341976457,SoftMax
454,10,max_tvd,84.2250388719,SoftMax
455,10,mean_tvd,96.1002811712,SoftMax
456,10,min_tvd,164.440233062,SoftMax
457,10,num_pools_produced,0.475580072909,SoftMax
458,10,std_tvd,24.9623706932,SoftMax
459,10,surface_lat,0.205987621765,SoftMax
460,10,surface_lng,0.178330236185,SoftMax
461,10,total_lbs_proppant,839883.003831,SoftMax
462,10,total_volume_bbls,22544.0869761,SoftMax
463,10,tvd,116.618306584,SoftMax
464,20,GRElev,60.1011963634,SoftMax
465,20,KBElev,63.2349845906,SoftMax
466,20,TD,905.342988328,SoftMax
467,20,bh_lat,0.251364996485,SoftMax
468,20,bh_lng,0.219035766038,SoftMax
469,20,legs,0.66817384317,SoftMax
470,20,max_tvd,96.0017732583,SoftMax
471,20,mean_tvd,108.202926789,SoftMax
472,20,min_tvd,177.045295031,SoftMax
473,20,num_pools_produced,0.482244690308,SoftMax
474,20,std_tvd,26.3510671363,SoftMax
475,20,surface_lat,0.253078190873,SoftMax
476,20,surface_lng,0.219457258807,SoftMax
477,20,total_lbs_proppant,875714.206922,SoftMax
478,20,total_volume_bbls,20834.4055194,SoftMax
479,20,tvd,123.52345651,SoftMax
480,30,GRElev,75.0397915223,SoftMax
481,30,KBElev,73.2159263733,SoftMax
482,30,TD,904.621031756,SoftMax
483,30,bh_lat,0.298682319607,SoftMax
484,30,bh_lng,0.26554143362,SoftMax
485,30,legs,0.693918359101,SoftMax
486,30,max_tvd,105.872527112,SoftMax
487,30,mean_tvd,118.261841844,SoftMax
488,30,min_tvd,180.836926739,SoftMax
489,30,num_pools_produced,0.497709916951,SoftMax
490,30,std_tvd,25.6287898399,SoftMax
491,30,surface_lat,0.300233659894,SoftMax
492,30,surface_lng,0.26549525336,SoftMax
493,30,total_lbs_proppant,866341.600146,SoftMax
494,30,total_volume_bbls,20783.9222847,SoftMax
495,30,tvd,129.13259489,SoftMax
496,40,GRElev,76.488958005,SoftMax
497,40,KBElev,75.9786314507,SoftMax
498,40,TD,913.504730343,SoftMax
499,40,bh_lat,0.351814558822,SoftMax
500,40,bh_lng,0.313748522216,SoftMax
501,40,legs,0.726685571174,SoftMax
502,40,max_tvd,119.340362368,SoftMax
503,40,mean_tvd,130.328760047,SoftMax
504,40,min_tvd,190.49425254,SoftMax
505,40,num_pools_produced,0.521565444006,SoftMax
506,40,std_tvd,26.0274552802,SoftMax
507,40,surface_lat,0.353817089199,SoftMax
508,40,surface_lng,0.314490963394,SoftMax
509,40,total_lbs_proppant,863143.836555,SoftMax
510,40,total_volume_bbls,21818.2627563,SoftMax
511,40,tvd,138.411379751,SoftMax
512,50,GRElev,96.8195093564,SoftMax
513,50,KBElev,86.9142499634,SoftMax
514,50,TD,899.793599406,SoftMax
515,50,bh_lat,0.417336098137,SoftMax
516,50,bh_lng,0.378710407922,SoftMax
517,50,legs,0.766882482593,SoftMax
518,50,max_tvd,127.495855708,SoftMax
519,50,mean_tvd,137.921486716,SoftMax
520,50,min_tvd,193.773153555,SoftMax
521,50,num_pools_produced,0.557318255914,SoftMax
522,50,std_tvd,27.3465751502,SoftMax
523,50,surface_lat,0.420327074445,SoftMax
524,50,surface_lng,0.379013454771,SoftMax
525,50,total_lbs_proppant,846290.674372,SoftMax
526,50,total_volume_bbls,21731.0322757,SoftMax
527,50,tvd,144.06344156,SoftMax
528,60,GRElev,98.3813164275,SoftMax
529,60,KBElev,89.570082142,SoftMax
530,60,TD,911.519611407,SoftMax
531,60,bh_lat,0.510591169861,SoftMax
532,60,bh_lng,0.462107255344,SoftMax
533,60,legs,0.817012414287,SoftMax
534,60,max_tvd,142.744705363,SoftMax
535,60,mean_tvd,153.00146741,SoftMax
536,60,min_tvd,205.496776536,SoftMax
537,60,num_pools_produced,0.611382336718,SoftMax
538,60,std_tvd,27.5354236065,SoftMax
539,60,surface_lat,0.514049736052,SoftMax
540,60,surface_lng,0.462658261465,SoftMax
541,60,total_lbs_proppant,933707.676342,SoftMax
542,60,total_volume_bbls,22099.0613819,SoftMax
543,60,tvd,156.216991245,SoftMax
544,70,GRElev,107.502043204,SoftMax
545,70,KBElev,96.0472879134,SoftMax
546,70,TD,904.016816732,SoftMax
547,70,bh_lat,0.64118123184,SoftMax
548,70,bh_lng,0.597047079662,SoftMax
549,70,legs,0.881650161565,SoftMax
550,70,max_tvd,166.822836363,SoftMax
551,70,mean_tvd,176.820876625,SoftMax
552,70,min_tvd,224.428765207,SoftMax
553,70,num_pools_produced,0.66965451464,SoftMax
554,70,std_tvd,28.3311068386,SoftMax
555,70,surface_lat,0.644281634544,SoftMax
556,70,surface_lng,0.598164210779,SoftMax
557,70,total_lbs_proppant,927782.229988,SoftMax
558,70,total_volume_bbls,22013.4805285,SoftMax
559,70,tvd,178.434728885,SoftMax
