api	bakken_isopach_ft	choke_size	fluid_per_ft	length	min_dist	production_liquid_180	prop_per_ft	spud_year	stage_spacing	std_tvd	stimulated_formation	surface_lat	surface_lng	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd
33061024560000	120.0	0.625	3.2012288656212395	10297.295627316204	538.8733283754065	34964.0	210.25345667037797		0.002913386299254859	79.0767891921	1.0	48.0970782584	-102.438030238	2165042.0	30.0	32964.0	10222.76
33053034950000	50.0	0.75	5.826299188014511	10720.355749750837	3495.3667397589243	60994.0	518.4553693686125	2011.0	0.00354465848774498	177.183478427	1.0	47.7046690698	-103.448833333	5558026.0	38.0	62460.0	10928.47
33105026590000	70.0		7.870596379669412	9749.070629286027	2743.043668274937	87452.0	384.692668933373	2012.0	0.0030772163974154172	108.098192471	1.0	48.2250187181	-103.606117589	3750396.0	30.0	76731.0	10554.08
33105024000000	90.0	0.0	6.030153992583522	10031.418778757192	5534.352919951186	28660.0	226.3276063010981	2012.0	0.00239248311024788	74.65485786640001	1.0	48.43134741430001	-103.457007935	2270387.0	24.0	60491.0	10260.73
33025016940000	90.0	0.25	6.769624960548217	6197.9799833109455	4551.452543590277	41829.0	304.99065906795533	2012.0	0.0014520860061235988	161.57883641	1.0	47.745616741400006	-102.339801897	1890326.0	9.0	41958.0	9942.95
33025017270000	80.0		10.478345462589695	9408.641884539898	1149.8526441581146	96973.0	466.63801788590456	2013.0	0.0031885579627911474	126.38751034	1.0	47.646801833999994	-102.666814726	4390430.0	30.0	98587.0	11046.7
33023008700000	100.0		4.5048156162436275	10572.019824356861	4880.094652031697	72627.0	156.63988788450283	2012.0	0.003405214954010931	118.922318158	0.0	48.83547329090001	-103.43105554200001	1656000.0	36.0	47625.0	8380.92
33025020270000	50.0	0.375			316.8954030516474	43586.0		2013.0		330.23029196	1.0	47.155518711400006	-102.77011903399999	1817338.0	30.0		10340.89
33061010870000	70.0	0.375	5.718065945153964	9740.531245045007	1691.9538508278983	78403.0	341.58321720825467	2009.0	0.0020532760993065926	30.3471826489	1.0	48.3284762428	-102.230194654	3327202.0	20.0	55697.0	8814.13
33105026960000	90.0	0.1875	4.169738221794504	10693.716878180923	333.24365421578517	82605.0	242.60386071127357	2012.0	0.002805385661669323	86.9221072903	1.0	48.2277362564	-103.34122342	2594337.0	30.0	44590.0	11110.72
