api	bakken_isopach_ft	bh_lat	bh_lng	choke_size	data_group	legs	mean_tvd	min_tvd	production_liquid_180	std_tvd	surface_lat	surface_lng	td	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd	length	stage_spacing	spud_year	shortest_dist	target_formation
33061024750000	130.0	48.111003	-102.640527	0.46875	TEST	2.0	10727.221642899998	10132.53	63227.0	145.369157112	48.1399076508	-102.64112191	20924.0	2179008.0	34.0	38997.0	10823.67	10548.75976221688	0.0032231277198841728	2013.0	0.15635606027160032	0.0
33061012750000	100.0	47.847011	-102.441318	0.375	TEST	2.0	10157.4800741	9629.34	118727.0	130.388018459	47.820002422399995	-102.44098916600001	19824.0	282297.0	25.0	128920.0	10187.05	9856.186461320622	0.0025364779875167126	2010.0	4.0103019901092924	1.0
33053049450000	50.0	47.799778	-103.700649	0.5625	TEST	3.0	10735.5735052	10198.17	51575.0	156.86582188100002	47.8183063935	-103.700384284	20500.0	3670057.0	32.0	137765.0	10808.7	6761.615183611499	0.004732597039470713	2013.0	18.038331742150106	1.0
33061022060000	100.0	47.790393	-102.454768		TEST	2.0	10237.084375	9659.62	103065.0	120.367907856	47.82015493340001	-102.45766362399999	20820.0	3301702.0	15.0	81947.0	10282.35	10883.764304658973	0.0013781996357252063	2012.0	1.8603729465211791	1.0
33053040140000	100.0	47.933713	-102.746963	0.375	TEST	2.0	10647.0626374	10114.83	89007.0	86.9141392262	47.906759943400004	-102.746297647	20241.0	4215829.0	38.0	65208.0	10636.08	9836.942632823166	0.00386298887961433	2012.0	1.856919732225136	0.0
33053054660000	90.0	47.789157	-103.124305	0.53125	TEST	2.0	10917.5345752	10422.03	65156.0	104.094154105	47.7628280076	-103.13067102299999	20731.0	3521116.0	30.0	92548.0	10958.96	9733.875808912477	0.003082020008158679	2014.0	2.8355398159110683	1.0
33105028740000	130.0	48.312262	-102.862665	0.40625	TEST	2.0	10147.0448819	9708.49	34518.0	92.46179140950001	48.2848716808	-102.863872569	19971.0	2995250.0	30.0	46837.0	10172.59	9999.458820372476	0.0030001623626749944	2013.0	24.317994949136168	1.0
33053055170000	90.0	47.962933	-103.271535	0.28125	TEST	2.0	11412.4853191	10877.61	62153.0	104.222892865	47.935238702	-103.275327628	21459.0	3755580.0	36.0	85716.0	11456.88	10148.5123718631	0.003547317939899303	2014.0	1.257340653321345	0.0
33025016120000	30.0	47.121172	-102.977137	0.4375	TEST	2.0	10780.6111905	10120.26	31033.0	177.407059892	47.0952585675	-102.977041304	19911.0	1249891.0	21.0	73407.0	10866.76	9456.251384010704	0.0022207531448992864	2012.0	7.548103582084927	1.0
33025023750000	70.0	47.502816	-102.78679	0.46875	TEST	2.0	11036.0137241	10441.26	38616.0	142.956010625	47.532627613500004	-102.78545543	21850.0	3724716.0	32.0	52370.0	11082.18	10883.700326563407	0.002940176506137246	2014.0	1.442681992430367	0.0
33053028870000	90.0	47.935783	-102.903132		TEST	2.0	10737.2246057	10270.68	44083.0	65.21986356949999	47.9619829163	-102.901384527	20400.0				10770.49	9570.299603653979		2008.0	1.0224963180797515	1.0
33053038900000	80.0	47.964714	-103.438654		TEST	2.0	10897.5255357	10508.8	34720.0	87.12201347450001	47.9887378564	-103.43835568799999	19509.0	2336788.0	26.0	49492.0	10935.9	8766.988176967145	0.002965670704143056	2012.0	1.4019278439444256	1.0
33061021800000	110.0	47.906071	-102.511149	0.28125	TEST	2.0	10367.0500606	9831.89	88954.0	114.47958615200001	47.9335806692	-102.508007176	20318.0	2691121.0	33.0	35631.0	10443.17	10068.07489680051	0.0032776871783588863	2012.0	1.2442062179953521	0.0
33105027860000	90.0	48.458917	-103.504295	0.5625	TEST	2.0	10122.6087591	9538.16	49893.0	144.31075319200002	48.43155086189999	-103.50662556700001	20006.0	1882341.0	30.0	35417.0	10117.82	10002.258599593612	0.0029993225731255227	2012.0	15.917586747749846	1.0
33061028950000	140.0	48.28482	-102.73636	0.4375	TEST	2.0	10257.7303145	9649.0	58944.0	143.59725644	48.311485143	-102.736325741	19453.0	2383799.0	35.0	52003.0	10339.74	9730.536123476015	0.0035969241114637614	2014.0	0.7388459053952589	0.0
33023005650000	110.0	48.68979	-103.053268	0.4375	TEST	2.0	9075.80945736	8607.15	58770.0	109.988533964	48.662948937399996	-103.053184387	18730.0	1818836.0	18.0	32932.0	9053.33	9794.749135516044	0.0018377193484957648	2009.0	11.766665368745532	0.0
33061007800000	140.0	48.227617	-102.620764		TEST	2.0	10361.9108434	9426.98	34975.0	188.39346388099997	48.254163278	-102.623868014	19794.0				10469.08	9716.485916867412		2008.0	5.2352479509352925	1.0
33105020170000	50.0	48.05408	-103.911268		TEST	2.0	10503.3083465	9973.85	69444.0	126.990852276	48.0817396367	-103.91127407399999	20363.0	4115740.0	32.0	73014.0	10558.22	10093.439163677333	0.0031703762692855495	2011.0	21.53924732809475	1.0
33053044440000	30.0	47.558592	-103.805125	0.578125	TEST	2.0	10585.631875	10046.28	35457.0	132.740665366	47.5324165017	-103.804821119	19934.0	4105339.0	27.0	83197.0	10647.65	9552.146750503449	0.002826589740005508	2012.0	10.529048880890544	0.0
33025011480000	50.0	47.269447	-102.848488	0.21875	TEST	2.0	10597.3605185	9913.57	17163.0	170.342177684	47.2421799947	-102.84896722100001	20275.0	1890340.0	13.0	12461.0	10706.94	9950.86954309404	0.0013064184937508375	2010.0	6.35667292896625	1.0
33061011590000	120.0	47.935863	-102.551058	0.265625	TEST	2.0	10478.8522018	9898.14	61881.0	134.639501172	47.947757048	-102.550901473	14715.0		19.0		10558.15	4340.494956258437	0.004377380964952957	2009.0	12.625214114993554	1.0
33025009210000	70.0	47.471829	-102.762209	0.1875	TEST	2.0	10877.9476216	10281.17	39851.0	128.461148834	47.445424877	-102.758916043	20460.0				10961.55	9669.47575901093		2009.0	3.1317854323692154	1.0
33105031800000	80.0	48.341755	-103.619464	0.65625	TEST	2.0	10490.305	9937.55	25385.0	97.5937215881	48.3139840089	-103.622735961	20685.0	4058741.0	32.0	64970.0	10457.56	10165.119096704228	0.003148020175226	2013.0	3.190261109033002	0.0
33053038360000	90.0	47.962448	-102.928375	0.375	TEST	2.0	10642.6836474	10124.0	71823.0	77.36884347	47.93486058479999	-102.929560595	20551.0	2914071.0	25.0	63259.0	10620.1	10071.254132159665	0.002482312497722569	2012.0	2.043213782821371	1.0
33053057060000	90.0	47.906408	-103.270724	0.46875	TEST	2.0	11401.1714815	10940.33	22643.0	83.87243817	47.9341431863	-103.274641426	21508.0	3958177.0	36.0	210681.0	11418.05	10166.24863543099	0.0035411292100937103	2014.0	0.9798584764351533	0.0
33053048190000	80.0	47.819898	-103.366147	0.5	TEST	2.0	11124.1523567	10693.62	80450.0	83.2955220667	47.84748876	-103.35986002	21352.0	2922580.0	30.0	81078.0	11150.25	10185.410675453542	0.002945389337348849	2013.0	0.012723602356077513	1.0
33025012710000	80.0	47.589084	-102.701	0.34375	TEST	2.0	11097.13752	10564.0	109761.0	89.6530048992	47.6197573432	-102.699250457	21847.0	2790940.0	28.0	74857.0	11136.63	11201.462444056731	0.0024996736042137277	2011.0	2.2502696761782524	1.0
33105017650000	120.0	48.21338400000001	-102.838328	0.34375	TEST	2.0	10431.11372	9911.48	35096.0	87.1156005877	48.2398556496	-102.834405716	20011.0	1536418.0	14.0	33741.0	10486.2	9706.86956899087	0.0014422775438050358	2010.0	1.7488187237672301	0.0
33061009780000	130.0	48.343638	-102.67984	0.375	TEST	2.0	10054.6659615	9322.22	56028.0	157.18747056	48.370230568500006	-102.69664403799999	20313.0				10124.88	10524.80812158188		2009.0	2.5361942403901954	1.0
33105030550000	100.0	48.61815900000001	-102.98247	0.46875	TEST	2.0	9314.67139706	8858.61	40230.0	87.3738970744	48.588726323500005	-102.983120032	19885.0	4504748.0	30.0	61611.0	9292.58	10741.594665855793	0.002792881404784405	2013.0	1.3140337842928247	1.0
33105026690000	90.0	48.139197	-103.334101	0.53125	TEST	2.0	11152.3540881	10528.82	66093.0	117.80407972100001	48.1121523666	-103.336946525	20868.0	1980768.0	29.0	37280.0	11239.73	9893.32395141063	0.002931269626106306	2012.0	2.369431428140279	1.0
33061012020000	110.0	48.126371	-102.336263	0.625	TEST	2.0	9862.98071038	9351.07	173846.0	99.5522265001	48.13232687479999	-102.373312859	18950.0		18.0		9857.51	9282.030701719192	0.001939230819034685	2010.0	3.858717841407262	1.0
33023007890000	90.0	48.779158	-103.612341	0.46875	TEST	2.0	8747.95755396	8286.26	38851.0	104.85984793600001	48.806936378	-103.610843035	19196.0	1910900.0	20.0	67953.0	8848.77	10143.164095322269	0.001971771314359729	2011.0	19.995457897191677	0.0
